corpus	endpoint	A	T	P	C	B	D	S	Y	R	F	I	V	L	M	activated_dims
OBIE	OBIE v3.1 PISP|GET /file-payment-consents/{ConsentId}/file	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 PISP|POST /file-payment-consents/{ConsentId}/file	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 PISP|POST /file-payments	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|GET /file-payments/{FilePaymentId}	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|GET /file-payments/{FilePaymentId}/payment-details	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|GET /file-payments/{FilePaymentId}/report-file	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|POST /international-payment-consents	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 PISP|GET /international-payment-consents/{ConsentId}	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 PISP|GET /international-payment-consents/{ConsentId}/funds-confirmation	0	0	1	1	0	0	0	0	0	1	0	0	0	0	P,C,F
OBIE	OBIE v3.1 PISP|POST /international-payments	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|GET /international-payments/{InternationalPaymentId}	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|GET /international-payments/{InternationalPaymentId}/payment-details	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 PISP|POST /international-scheduled-payment-consents	0	0	0	1	0	0	1	0	0	0	0	0	0	0	C,S
OBIE	OBIE v3.1 PISP|GET /international-scheduled-payment-consents/{ConsentId}	0	0	0	1	0	0	1	0	0	0	0	0	0	0	C,S
OBIE	OBIE v3.1 PISP|GET /international-scheduled-payment-consents/{ConsentId}/funds-confirmation	0	0	0	1	0	0	1	0	0	1	0	0	0	0	C,S,F
OBIE	OBIE v3.1 PISP|POST /international-scheduled-payments	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
OBIE	OBIE v3.1 PISP|GET /international-scheduled-payments/{InternationalScheduledPaymentId}	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
OBIE	OBIE v3.1 PISP|GET /international-scheduled-payments/{InternationalScheduledPaymentId}/payment-details	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
OBIE	OBIE v3.1 PISP|POST /international-standing-order-consents	0	0	0	1	0	0	1	0	0	0	0	0	0	0	C,S
OBIE	OBIE v3.1 PISP|GET /international-standing-order-consents/{ConsentId}	0	0	0	1	0	0	1	0	0	0	0	0	0	0	C,S
OBIE	OBIE v3.1 PISP|POST /international-standing-orders	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
OBIE	OBIE v3.1 PISP|GET /international-standing-orders/{InternationalStandingOrderPaymentId}	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
OBIE	OBIE v3.1 PISP|GET /international-standing-orders/{InternationalStandingOrderPaymentId}/payment-details	0	0	0	0	0	0	1	0	0	0	0	0	0	0	S
